dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/10T/medium,TimeCopilot,22.019168289905668,22.019168289905668,2.1670351192539576,0.947507266525788,2.267577131790845,1.5238331844463489,6.533838178257635,4.692458661502056,1.0412752123224644,0.4808736989894127,0.3654965748217511,Energy,1
solar/10T/long,TimeCopilot,22.625751067938847,22.625751067938847,2.212217256905629,0.9671587071177912,2.277119444532844,1.5325572626893469,6.191737729498273,4.756653347463828,1.0280745251539265,0.4781353695120983,0.3611726608331724,Energy,1
solar/H/medium,TimeCopilot,660.6757207529897,660.6757207529897,10.32349824264134,0.7884339037797935,3.4372374784898354,1.3971808793552492,8.60678230418119,25.70361299025858,0.925904132435434,0.37187650186276,0.3056480122368017,Energy,1
solar/H/long,TimeCopilot,603.7713699914224,603.7713699914224,10.574238680127047,0.8031220443323172,3.3848381887836827,1.4022686196231828,7.66178282160624,24.57175960307732,0.8519476861980545,0.3666281260423847,0.2919721600130173,Energy,1
kdd_cup_2018/H/medium,TimeCopilot,4501.496239798726,4501.496239798726,21.267457002191247,0.8809323711096007,0.8523815087719337,0.4762398641605064,8.014151088322132,67.09319071112004,1.4043819809200055,0.4451663883816173,0.3634352254434075,Nature,1
kdd_cup_2018/H/long,TimeCopilot,3476.279481839817,3476.279481839817,19.940171223992767,0.846932989143261,0.8171217384323863,0.5069393709400944,7.379851777933759,58.959982037309146,1.3834393999393408,0.4678769829908051,0.3729545163616967,Nature,1
loop_seattle/5T/medium,TimeCopilot,53.09786497968351,53.09786497968351,4.2271080844403,0.6750152284090478,0.1411380644379274,0.0975960577179127,4.733693288938917,7.28682818376305,0.1296476484100133,0.0752089398709585,0.0581236058564988,Transport,1
loop_seattle/5T/long,TimeCopilot,65.77390008978465,65.77390008978465,4.678719174527285,0.741335837948898,0.161000568672698,0.1063086322592711,5.458349474297115,8.110110978882142,0.1433884214432887,0.0827207122761697,0.0643679642964059,Transport,1
loop_seattle/H/medium,TimeCopilot,67.05025518941878,67.05025518941878,4.574280084455069,0.9385925235329952,0.1291700466289554,0.1038880948135676,8.364170945220577,8.1884220207204,0.1447294386535952,0.0808498862408728,0.0651454144718348,Transport,1
loop_seattle/H/long,TimeCopilot,66.77893425129199,66.77893425129199,4.528082261100478,0.9470132077266724,0.1427466849514623,0.1040273097569529,8.695303930807215,8.171837874755713,0.1460416861629384,0.0809228938007257,0.0652841225947393,Transport,1
sz_taxi/15T/medium,TimeCopilot,16.746692647366423,16.746692647366423,2.80319449785868,0.546313980390436,12260400705409.943,0.4086868235270063,4.15504472063875,4.092272308555043,0.3808542444886428,0.2608840375565462,0.206937670340773,Transport,1
sz_taxi/15T/long,TimeCopilot,15.88749669690106,15.88749669690106,2.7324282289642734,0.5160497951836313,6899154928645.429,0.4008666353985959,3.9047299348177553,3.985912279127711,0.3689289403819629,0.2529086895515328,0.1998971444247135,Transport,1
m_dense/H/medium,TimeCopilot,33620.6758636312,33620.6758636312,80.97299096213446,0.6994088185298244,0.2611041852375969,0.1935244968643103,7.419700992410988,183.3594171664799,0.3190222208686621,0.1408827744236561,0.1150419135776963,Transport,1
m_dense/H/long,TimeCopilot,35131.00096581889,35131.00096581889,84.76255368632299,0.7212917507999137,0.2611897313593505,0.1976007999709247,7.238621727643479,187.43265714869136,0.3244736371093977,0.146736510614921,0.1191795538083717,Transport,1
ett1/15T/medium,TimeCopilot,9.650517354548349,9.650517354548349,1.634607786774018,1.0469833055521922,0.7259542038227474,0.4093312196634479,7.423650658102283,3.1065281834466507,0.5921073433217752,0.3115578603655285,0.2432714779273141,Energy,7
ett1/15T/long,TimeCopilot,8.249822969890293,8.249822969890293,1.5941603270479447,1.0582463352692113,0.7452691376585209,0.4145760095963351,7.904996533423086,2.8722505061171617,0.5474537863824479,0.3038485345496112,0.2390871499557088,Energy,7
