dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
electricity/W/short,Chronos-2,75884883990.14053,75884883990.14053,31256.063063063062,1.3850606026911376,0.12462861973381388,0.09090743193755278,10.443927982377515,275472.1110931931,0.6285364514202042,0.07131602137530944,0.05590120453637864,Energy,1
ett1/15T/long,Chronos-2,8.841597222222223,8.841597222222223,1.5811059957837301,1.0133727405348167,0.7827073009652279,0.38617210751488096,8.330647018479825,2.9734823393156757,0.5667486738823136,0.30136036610327815,0.24113485656719547,Energy,7
ett1/15T/medium,Chronos-2,9.473058655753968,9.473058655753968,1.5767613777281746,0.9859937447971706,0.7630063625767908,0.37749449714781746,7.507395887777427,3.077833435349283,0.5866380266337106,0.30053224208922674,0.23303125605934719,Energy,7
ett1/15T/short,Chronos-2,5.543573869977679,5.543573869977679,1.1087347848074778,0.6869282579853626,0.49065431432400236,0.23012150355747768,4.892709657054664,2.354479532715814,0.4450945883523978,0.20959700255565278,0.1652939685623463,Energy,7
ett1/D/short,Chronos-2,41941.88888888889,41941.88888888889,134.4664806547619,1.6403424775100648,1.3372307671440973,0.46783844478546627,11.555169672110857,204.79718965085652,0.5379066118101579,0.353180671738464,0.2742107738380927,Energy,7
ett1/H/long,Chronos-2,149.0723544973545,149.0723544973545,7.340656001984127,1.380466540478325,3420950115626.8896,0.46889803447420636,10.575395748311882,12.209519011711906,0.5846874214886253,0.3515281171779196,0.2751785632214682,Energy,7
ett1/H/medium,Chronos-2,140.37652529761905,140.37652529761905,6.97626720610119,1.273777521133431,3687778958273.7476,0.4353119623093378,9.667693706636634,11.848059980335137,0.5674939873309317,0.33414666198916376,0.26059463857135295,Energy,7
ett1/H/short,Chronos-2,88.84915364583334,88.84915364583334,4.728027925037202,0.7867823367050838,0.437381344749814,0.24990012759254093,5.607514495280123,9.42598290078193,0.43994918527277593,0.22067640642489356,0.17056401315691946,Energy,7
ett1/W/short,Chronos-2,1482215.4285714286,1482215.4285714286,943.4799107142857,1.5900649002196825,0.734635625566755,0.5536167621612549,9.080652070692834,1217.4627011007067,0.48445746686206087,0.37543317521485003,0.27142729507349506,Energy,7
ett2/15T/long,Chronos-2,11.688671875,11.688671875,2.136253410218254,0.8903270215343758,0.1369816222269947,0.16666164822048612,7.1919007730020015,3.4188699704727,0.1821977572892066,0.11384480360607892,0.09289448313644817,Energy,7
ett2/15T/medium,Chronos-2,11.215238095238096,11.215238095238096,2.059312220982143,0.8487085901964821,0.1280561590255245,0.1561493694971478,6.484077334641768,3.348915958222615,0.17846978159682161,0.1097444686290088,0.08738895504218223,Energy,7
ett2/15T/short,Chronos-2,6.982102167038691,6.982102167038691,1.678560529436384,0.7261654250803261,0.10393601476211456,0.12403215680803571,4.924883285917772,2.6423667737539183,0.12544255085333136,0.07968723973738098,0.06219244724710097,Energy,7
ett2/D/short,Chronos-2,105162.81904761905,105162.81904761905,194.35518353174604,1.2907810501715817,0.41752886090959823,0.13291920253208706,14.44876356539086,324.28817284572534,0.1855986562984518,0.11123458679232107,0.09419598685725401,Energy,7
ett2/H/long,Chronos-2,241.76742724867725,241.76742724867725,9.487003968253969,1.0480351820112475,0.1770615728432216,0.17451640134135252,8.920745325257933,15.548872217903048,0.21292983772830115,0.129917217607728,0.10505843968023981,Energy,7
ett2/H/medium,Chronos-2,272.4251302083333,272.4251302083333,10.183489118303571,1.0901769049896204,0.17723347685298205,0.17325506664457777,7.853810714208072,16.505306122830117,0.222419600232226,0.13722905602637375,0.10911511025055304,Energy,7
ett2/H/short,Chronos-2,107.96099330357143,107.96099330357143,6.392679268973215,0.736262066815625,0.11775483856223916,0.11017581394740514,5.0969814789571055,10.39042796537137,0.13177953696245825,0.08107696014277567,0.06424452613433201,Energy,7
ett2/W/short,Chronos-2,3115530.0,3115530.0,1194.0851004464287,0.771557833167684,0.12665045261383057,0.13521315370287215,11.857089292788105,1765.086400151562,0.14806366082511788,0.10016541473190521,0.08963468571660917,Energy,7
hierarchical_sales/D/short,Chronos-2,29.65272840016536,29.65272840016536,2.3113032567693264,0.7440117573590805,0.6363216025673376,1.077673092574411,6.7952369747894625,5.445431883713665,1.670598197403056,0.7090822430373245,0.5788581494406615,Sales,1
hierarchical_sales/W/short,Chronos-2,452.33736096398303,452.33736096398303,8.796943276615465,0.709343444262644,0.5139163476084444,0.45117019394696767,6.659061572975727,21.268224208052327,0.9764345764539204,0.40387196873442194,0.34072688823986497,Sales,1
hospital/M/short,Chronos-2,2539.3183398522383,2539.3183398522383,17.25815032866145,0.7399125269543689,0.19340434897106556,0.17136815090585614,4.875913348448958,50.391649505173355,0.18293338935881895,0.06265109328008678,0.050963799382019365,Healthcare,1
