dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett2/W/short,Lingjiang,4461767.188,4461767.188,1392.368981,0.863645233,0.141492297,0.146434537,34.54580931,2112.289561,0.177188711,0.116798411,0.116798411,Energy,7
ett1/15T/short,Lingjiang,5.118573077,5.118573077,1.140915467,0.728690522,0.50789968,0.250847278,29.1476209,2.262426369,0.427692758,0.215680514,0.215680514,Energy,7
ett1/15T/medium,Lingjiang,7.605039157,7.605039157,1.495181248,0.969099628,0.696060902,0.377664181,38.76398511,2.757723546,0.525624835,0.284983024,0.284983024,Energy,7
ett1/15T/long,Lingjiang,7.434995449,7.434995449,1.512222298,0.997990935,0.744547068,0.388845681,39.9196374,2.726718806,0.519715301,0.288231065,0.288231065,Energy,7
electricity/D/short,Lingjiang,3995818360,3995818360,6432.448879,1.836732904,0.692014525,0.131452524,73.46931614,63212.48579,1.038791073,0.105706498,0.105706498,Energy,1
ett2/D/short,Lingjiang,128052.1545,128052.1545,221.1263911,1.43464338,0.4127901,0.148714404,57.38573521,357.8437571,0.204803424,0.126556468,0.126556468,Energy,7
electricity/W/short,Lingjiang,3.05E+11,3.05E+11,56245.97785,2.113950246,0.280712627,0.132135538,84.55800985,552504.2746,1.260632435,0.128334761,0.128334761,Energy,1
solar/H/short,Lingjiang,378.4548504,378.4548504,8.666835487,0.666684036,3.512429189,1.380676244,26.66736143,19.45391607,0.717077826,0.319462443,0.319462443,Energy,1
solar/H/medium,Lingjiang,421.0798462,421.0798462,9.782205315,0.742579768,3.673205998,1.385878543,29.70319071,20.52023017,0.739186604,0.352377876,0.352377876,Energy,1
solar/H/long,Lingjiang,472.9125791,472.9125791,10.5225087,0.794303115,5.014658751,1.388174545,31.77212462,21.74655327,0.753992725,0.364834597,0.364834597,Energy,1
ett1/W/short,Lingjiang,974138.9118,974138.9118,797.3602392,1.475080064,0.608663421,0.523189316,59.00320257,986.9847576,0.392744792,0.31728867,0.31728867,Energy,7
ett1/H/short,Lingjiang,101.7774433,101.7774433,5.183612677,0.861514638,0.493560065,0.270626716,34.46058552,10.08848072,0.470870675,0.241940414,0.241940414,Energy,7
ett1/H/medium,Lingjiang,132.3005083,132.3005083,6.757688816,1.212783035,4.47E+12,0.436921111,48.51132139,11.5021958,0.550927913,0.323677275,0.323677275,Energy,7
ett1/H/long,Lingjiang,138.4687573,138.4687573,7.065248592,1.345580727,4.37E+12,0.468696772,53.82322909,11.76727485,0.563509306,0.338339453,0.338339453,Energy,7
ett1/D/short,Lingjiang,37464.18102,37464.18102,129.0242905,1.620550195,1.268104593,0.468554479,64.82200778,193.556661,0.50838299,0.338886579,0.338886579,Energy,7
sz_taxi/H/short,Lingjiang,7.982063186,7.982063186,2.038453256,0.615688543,1.116686042,0.328442728,24.62754171,2.825254535,0.263189901,0.189894504,0.189894504,Transport,1
bitbrains_fast_storage/H/short,Lingjiang,4101911.843,4101911.843,426.4628238,18.93071363,7.190911115,0.722434737,757.2285452,2025.317714,5.772813304,1.215557562,1.215557562,Web/CloudOps,2
m4_hourly/H/short,Lingjiang,32188501.36,32188501.36,955.9243949,3.019504948,0.186883681,0.157076506,120.7801979,5673.491109,0.774556868,0.130504797,0.130504797,Econ/Fin,1
m4_quarterly/Q/short,Lingjiang,1894278.641,1894278.641,597.9298152,1.302256591,0.124112479,0.10759849,52.09026364,1376.327956,0.230373063,0.100082922,0.100082922,Econ/Fin,1
m4_monthly/M/short,Lingjiang,2019417.15,2019417.15,606.4044781,1.125151539,0.175650021,0.141611095,45.00606157,1421.061979,0.295345463,0.126031668,0.126031668,Econ/Fin,1
